folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,VWIsAuto,Date,Time,Description,KP,Observation Code,Photo Ref - From,Photo Ref - To,Comment,Anode Type,Activity,Current Intensity,Anode Wear,Marine Growth Coverage,Severity Code,Status,Status [BK FT SM],Status [GB SB],Status [RK],Status [RR],Length,Breadth,Height - Acoustic,Height - Visual,Distance to Pipe,Position,CP Location,CP Reading,Location,Location [DP],Location [DB],Crossing Type,Orientation,Event Code [DB],Event Code [FT],Size,Size [DB],Type [MO],Sediment Coverage
DATA_20121006203654937,20121006203657468@DVR-1_Ch1.mpg,1109.857,20121006203654937@DVR-1_Ch2.mpg,1112.388,20121006203655578@DVR-1_Ch3.mpg,1111.747,20121006205527325,F,06/10/2012,20:55:27,Exposure Start,129.017,EXS,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006203654937,20121006203657468@DVR-1_Ch1.mpg,1113.229,20121006203654937@DVR-1_Ch2.mpg,1115.76,20121006203655578@DVR-1_Ch3.mpg,1115.119,20121006205530697,F,06/10/2012,20:55:30,Field Joint,129.019,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006203654937,20121006203657468@DVR-1_Ch1.mpg,1125.845,20121006203654937@DVR-1_Ch2.mpg,1128.376,20121006203655578@DVR-1_Ch3.mpg,1127.735,20121006205543313,F,06/10/2012,20:55:43,Exposure End,129.024,EXE,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,259.31,20121006200653797@DVR-1_Ch2.mpg,261.888,20121006200654469@DVR-1_Ch3.mpg,261.216,20121006201115685,F,06/10/2012,20:11:15,Exposure Start,127.84200000000001,EXS,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,348.979,20121006200653797@DVR-1_Ch2.mpg,351.557,20121006200654469@DVR-1_Ch3.mpg,350.885,20121006201245354,F,06/10/2012,20:12:45,Exposure End,127.874,EXE,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,461.557,20121006200653797@DVR-1_Ch2.mpg,464.135,20121006200654469@DVR-1_Ch3.mpg,463.463,20121006201437932,F,06/10/2012,20:14:37,Field Joint,127.91799999999999,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,461.714,20121006200653797@DVR-1_Ch2.mpg,464.292,20121006200654469@DVR-1_Ch3.mpg,463.62,20121006201438089,F,06/10/2012,20:14:38,Exposure Start,127.919,EXS,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,590.076,20121006200653797@DVR-1_Ch2.mpg,592.654,20121006200654469@DVR-1_Ch3.mpg,591.982,20121006201646451,F,06/10/2012,20:16:46,Field Joint,127.98,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,644.076,20121006200653797@DVR-1_Ch2.mpg,646.654,20121006200654469@DVR-1_Ch3.mpg,645.982,20121006201740451,F,06/10/2012,20:17:40,Field Joint,128.006,FJ,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
DATA_20121006200653797,20121006200656375@DVR-1_Ch1.mpg,699.476,20121006200653797@DVR-1_Ch2.mpg,702.054,20121006200654469@DVR-1_Ch3.mpg,701.382,20121006201835851,F,06/10/2012,20:18:35,Field Joint,128.03,FJ,-,-,Field joint intact. Wrap beginning to loosen.,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.0,0.0,0,0.0,0.0,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.0,DB0,FT0,0.0,None,No Record,Not Recorded
