folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,VWIsAuto,Date,Time,Description,KP,Observation Code,Photo Ref - From,Photo Ref - To,Comment,Anode Type,Activity,Current Intensity,Anode Wear,Marine Growth Coverage,Severity Code,Status,Status [BK FT SM],Status [GB SB],Status [RK],Status [RR],Length,Breadth,Height - Acoustic,Height - Visual,Distance to Pipe,Position,CP Location,CP Reading,Location,Location [DP],Location [DB],Crossing Type,Orientation,Event Code [DB],Event Code [FT],Size,Size [DB],Type [MO],Sediment Coverage
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,4.383,20121007011737719@DVR-1_Ch2.mpg,3.586,20121007011738360@DVR-1_Ch3.mpg,2.945,20121007011741305,F,07/10/2012,01:17:41,Exposure Start,145.594,EXS,-,-,-,Not Recorded,Not Recorded,0,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,213.837,20121007011737719@DVR-1_Ch2.mpg,213.04,20121007011738360@DVR-1_Ch3.mpg,212.399,20121007012110759,F,07/10/2012,01:21:10,Field Joint,145.685,FJ,IC2 -KP 145.684 Fiel Joint Damage.jpg,-,Concrete Damage on Field Joint,Not Recorded,Not Recorded,0.,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0.,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,314.997,20121007011737719@DVR-1_Ch2.mpg,314.2,20121007011738360@DVR-1_Ch3.mpg,313.559,20121007012251919,F,07/10/2012,01:22:51,Field Joint,145.734,FJ,-,-,Field joint wrap missing from joint. No other damage observed. Sediment  and marine growth obscuring close observation.,Not Recorded,Not Recorded,0.,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0.,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,449.078,20121007011737719@DVR-1_Ch2.mpg,448.281,20121007011738360@DVR-1_Ch3.mpg,447.64,20121007012506000,F,07/10/2012,01:25:06,Field Joint,145.796,FJ,-,-,Field joint wrap missing from joint. No other damage observed. Sediment  and marine growth obscuring close observation.,Not Recorded,Not Recorded,0.,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0.,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,482.816,20121007011737719@DVR-1_Ch2.mpg,482.019,20121007011738360@DVR-1_Ch3.mpg,481.378,20121007012539738,F,07/10/2012,01:25:39,Field Joint,145.808,FJ,-,-,Field joint wrap missing from joint. No other damage observed. Sediment  and marine growth obscuring close observation.,Not Recorded,Not Recorded,0.,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0.,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,497.256,20121007011737719@DVR-1_Ch2.mpg,496.459,20121007011738360@DVR-1_Ch3.mpg,495.818,20121007012554178,F,07/10/2012,01:25:54,Field Joint,145.815,FJ,-,-,Field joint wrap missing from joint. No other damage observed. Sediment  and marine growth obscuring close observation.,Not Recorded,Not Recorded,0.,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0.,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,511.899,20121007011737719@DVR-1_Ch2.mpg,511.102,20121007011738360@DVR-1_Ch3.mpg,510.461,20121007012608821,F,07/10/2012,01:26:08.821,Field Joint.Start,-,FJS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,512.179,20121007011737719@DVR-1_Ch2.mpg,511.382,20121007011738360@DVR-1_Ch3.mpg,510.741,20121007012609101,F,07/10/2012,01:26:09,Field Joint,145.821,FJ,-,-,Field joint wrap missing from joint. No other damage observed. Sediment  and marine growth obscuring close observation.,Not Recorded,Not Recorded,0.,Not Recorded,Not Recorded,None,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,0.00,0.00,0,0.00,0.00,Not Recorded,Not Recorded,0.,Unseen,Unseen,Unseen,Not Recorded,0.00,DB0,FT0,0.00,None,No Record,Not Recorded
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,514.938,20121007011737719@DVR-1_Ch2.mpg,514.141,20121007011738360@DVR-1_Ch3.mpg,513.5,20121007012611860,F,07/10/2012,01:26:11.860,Field Joint.End,-,FJE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DATA_20121007011736922,20121007011736922@DVR-1_Ch1.mpg,540.557,20121007011737719@DVR-1_Ch2.mpg,539.76,20121007011738360@DVR-1_Ch3.mpg,539.119,20121007012637479,F,07/10/2012,01:26:37.479,Field Joint.Start,-,FJS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
