folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,Description,Code,KP
DATA_20160907022932003,20160907022932003@DVR1_Ch1.asf,116.198,20160907022932456@DVR1_Ch2.asf,115.745,20160907022933167@DVR1_Ch3.asf,115.034,20160907023128201,Exposure - End,7.2,3.175
DATA_20160907022932003,20160907022932003@DVR1_Ch1.asf,166.199,20160907022932456@DVR1_Ch2.asf,165.746,20160907022933167@DVR1_Ch3.asf,165.035,20160907023218202,Field Joint - Normal,2.1,3.161
DATA_20160907022932003,20160907022932003@DVR1_Ch1.asf,190.64,20160907022932456@DVR1_Ch2.asf,190.187,20160907022933167@DVR1_Ch3.asf,189.476,20160907023242643,Exposure - Start,7.1,3.154
DATA_20160907022932003,20160907022932003@DVR1_Ch1.asf,473.247,20160907022932456@DVR1_Ch2.asf,472.794,20160907022933167@DVR1_Ch3.asf,472.083,20160907023725250,Exposure - End,7.2,3.0535
DATA_20160907022932003,20160907022932003@DVR1_Ch1.asf,527.048,20160907022932456@DVR1_Ch2.asf,526.595,20160907022933167@DVR1_Ch3.asf,525.884,20160907023819051,Field Joint,2.0,3.036
DATA_20160907022932003,20160907022932003@DVR1_Ch1.asf,555.969,20160907022932456@DVR1_Ch2.asf,555.516,20160907022933167@DVR1_Ch3.asf,554.805,20160907023847972,Exposure - Start,7.1,3.0269
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,3.188,20160825174059453@DVR1_Ch2.asf,2.735,20160825174059668@DVR1_Ch3.asf,2.52,20160825174102188,Exposure - Start,7.1,7.175
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,242.234,20160825174059453@DVR1_Ch2.asf,241.781,20160825174059668@DVR1_Ch3.asf,241.566,20160825174501234,Exposure - End,7.2,7.0701
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,320.436,20160825174059453@DVR1_Ch2.asf,319.983,20160825174059668@DVR1_Ch3.asf,319.768,20160825174619436,Exposure - Start,7.1,7.037
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,363.158,20160825174059453@DVR1_Ch2.asf,362.705,20160825174059668@DVR1_Ch3.asf,362.49,20160825174702158,Exposure - End,7.2,7.019
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,370.277,20160825174059453@DVR1_Ch2.asf,369.824,20160825174059668@DVR1_Ch3.asf,369.609,20160825174709277,Field Joint - Normal,2.1,7.016
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,402.518,20160825174059453@DVR1_Ch2.asf,402.065,20160825174059668@DVR1_Ch3.asf,401.85,20160825174741518,Field Joint - Normal,2.1,7.0028
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,421.959,20160825174059453@DVR1_Ch2.asf,421.506,20160825174059668@DVR1_Ch3.asf,421.291,20160825174800959,Anode - Bracelet - slight wastage 0-25%,1.1.1,6.995
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,448.971,20160825174059453@DVR1_Ch2.asf,448.518,20160825174059668@DVR1_Ch3.asf,448.303,20160825174827971,Exposure - Start,7.1,6.9834
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,980.093,20160825174059453@DVR1_Ch2.asf,979.64,20160825174059668@DVR1_Ch3.asf,979.425,20160825175719093,Exposure - End,7.2,6.762
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,1012.26,20160825174059453@DVR1_Ch2.asf,1011.807,20160825174059668@DVR1_Ch3.asf,1011.592,20160825175751260,Field Joint - Normal,2.1,6.7492
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,1042.374,20160825174059453@DVR1_Ch2.asf,1041.921,20160825174059668@DVR1_Ch3.asf,1041.706,20160825175821374,Field Joint - Normal,2.1,6.736
